TARGET                                SOURCE              FSTYPE      OPTIONS
/                                     /dev/mapper/ol-root xfs         rw,relatime,seclabel,attr2,inode64,logbufs=8,logbsize=32k,noquota
├─/sys                                sysfs               sysfs       rw,nosuid,nodev,noexec,relatime,seclabel
│ ├─/sys/kernel/security              securityfs          securityfs  rw,nosuid,nodev,noexec,relatime
│ ├─/sys/fs/cgroup                    tmpfs               tmpfs       ro,nosuid,nodev,noexec,seclabel,mode=755,inode64
│ │ ├─/sys/fs/cgroup/systemd          cgroup              cgroup      rw,nosuid,nodev,noexec,relatime,seclabel,xattr,release_agent=/usr/lib/systemd/systemd-cgroups-agent,name=systemd
│ │ ├─/sys/fs/cgroup/net_cls,net_prio cgroup              cgroup      rw,nosuid,nodev,noexec,relatime,seclabel,net_cls,net_prio
│ │ ├─/sys/fs/cgroup/memory           cgroup              cgroup      rw,nosuid,nodev,noexec,relatime,seclabel,memory
│ │ ├─/sys/fs/cgroup/freezer          cgroup              cgroup      rw,nosuid,nodev,noexec,relatime,seclabel,freezer
│ │ ├─/sys/fs/cgroup/cpu,cpuacct      cgroup              cgroup      rw,nosuid,nodev,noexec,relatime,seclabel,cpu,cpuacct
│ │ ├─/sys/fs/cgroup/pids             cgroup              cgroup      rw,nosuid,nodev,noexec,relatime,seclabel,pids
│ │ ├─/sys/fs/cgroup/cpuset           cgroup              cgroup      rw,nosuid,nodev,noexec,relatime,seclabel,cpuset
│ │ ├─/sys/fs/cgroup/hugetlb          cgroup              cgroup      rw,nosuid,nodev,noexec,relatime,seclabel,hugetlb
│ │ ├─/sys/fs/cgroup/perf_event       cgroup              cgroup      rw,nosuid,nodev,noexec,relatime,seclabel,perf_event
│ │ ├─/sys/fs/cgroup/blkio            cgroup              cgroup      rw,nosuid,nodev,noexec,relatime,seclabel,blkio
│ │ ├─/sys/fs/cgroup/misc             cgroup              cgroup      rw,nosuid,nodev,noexec,relatime,seclabel,misc
│ │ ├─/sys/fs/cgroup/devices          cgroup              cgroup      rw,nosuid,nodev,noexec,relatime,seclabel,devices
│ │ └─/sys/fs/cgroup/rdma             cgroup              cgroup      rw,nosuid,nodev,noexec,relatime,seclabel,rdma
│ ├─/sys/fs/pstore                    pstore              pstore      rw,nosuid,nodev,noexec,relatime,seclabel
│ ├─/sys/firmware/efi/efivars         efivarfs            efivarfs    rw,nosuid,nodev,noexec,relatime
│ ├─/sys/fs/bpf                       bpf                 bpf         rw,nosuid,nodev,noexec,relatime,mode=700
│ ├─/sys/kernel/tracing               none                tracefs     rw,relatime,seclabel
│ ├─/sys/fs/selinux                   selinuxfs           selinuxfs   rw,relatime
│ ├─/sys/kernel/debug                 debugfs             debugfs     rw,relatime,seclabel
│ └─/sys/kernel/config                configfs            configfs    rw,relatime
├─/proc                               proc                proc        rw,nosuid,nodev,noexec,relatime
│ └─/proc/sys/fs/binfmt_misc          systemd-1           autofs      rw,relatime,fd=45,pgrp=1,timeout=0,minproto=5,maxproto=5,direct,pipe_ino=22289
│   └─/proc/sys/fs/binfmt_misc        binfmt_misc         binfmt_misc rw,relatime
├─/dev                                devtmpfs            devtmpfs    rw,nosuid,seclabel,size=15701676k,nr_inodes=3925419,mode=755,inode64
│ ├─/dev/shm                          tmpfs               tmpfs       rw,nosuid,nodev,seclabel,inode64
│ ├─/dev/pts                          devpts              devpts      rw,nosuid,noexec,relatime,seclabel,gid=5,mode=620,ptmxmode=000
│ ├─/dev/hugepages                    hugetlbfs           hugetlbfs   rw,relatime,seclabel,pagesize=2M
│ └─/dev/mqueue                       mqueue              mqueue      rw,relatime,seclabel
├─/run                                tmpfs               tmpfs       rw,nosuid,nodev,seclabel,mode=755,inode64
│ ├─/run/user/0                       tmpfs               tmpfs       rw,nosuid,nodev,relatime,seclabel,size=3144244k,mode=700,inode64
│ └─/run/user/701                     tmpfs               tmpfs       rw,nosuid,nodev,relatime,seclabel,size=3144244k,mode=700,uid=701,gid=701,inode64
├─/boot                               /dev/nvme0n1p2      xfs         rw,relatime,seclabel,attr2,inode64,logbufs=8,logbsize=32k,noquota
│ └─/boot/efi                         /dev/nvme0n1p1      vfat        rw,relatime,fmask=0077,dmask=0077,codepage=437,iocharset=ascii,shortname=winnt,errors=remount-ro
└─/var/lib/nfs/rpc_pipefs             sunrpc              rpc_pipefs  rw,relatime
