
          ID NAME                                                             STATUS            CONTENTS          ALLOCATION_TYPE    TOTAL_MB     FREE_MB    USED_PCT 
------------ ---------------------------------------------------------------- ----------------- ----------------- --------------- ----------- ----------- ----------- 
           1 SYSAUX                                                           ONLINE            PERMANENT         AUTO                    192        9.19       95.21
           6 UNDO1                                                            ONLINE            UNDO              AUTO                    128       29.95       76.61
           5 UNDO0                                                            ONLINE            UNDO              AUTO                    128       40.44       68.41
           0 SYSTEM                                                           ONLINE            PERMANENT         AUTO                    128       72.94       43.02
           2 TEMP                                                             ONLINE            TEMPORARY         UNIFORM                 192      182.75        4.82
           3 SWAP                                                             ONLINE            SWAP              UNIFORM                 128         127         .78
           4 USERS                                                            ONLINE            PERMANENT         AUTO                    128         127         .78

7 rows fetched.


