
    THREAD#          ID NAME                                                              BLOCK_SIZE BLOCK_COUNT USED_BLOCKS   SEQUENCE# STATUS    TYPE      ARCHIVED HEALTH                            
----------- ----------- ---------------------------------------------------------------- ----------- ----------- ----------- ----------- --------- --------- -------- --------------------------------- 
          1           0 +DG0/dbfiles/redo1                                                       512      262144       53325           1 INACTIVE  ONLINE    YES      NORMAL                           
          1           1 +DG0/dbfiles/redo2                                                       512      262144        2402           2 CURRENT   ONLINE    NO       NORMAL                           
          1           2 +DG0/dbfiles/redo3                                                       512      262144           0           0 NEW       ONLINE    YES      NORMAL                           
          1           3 +DG0/dbfiles/redo4                                                       512      262144           0           0 NEW       ONLINE    YES      NORMAL                           
          1           4 +DG0/dbfiles/redo5                                                       512      262144           0           0 NEW       ONLINE    YES      NORMAL                           
          1           5 +DG0/dbfiles/redo6                                                       512      262144           0           0 NEW       ONLINE    YES      NORMAL                           
          2           0 +DG0/dbfiles/redo7                                                       512      262144        3443           1 CURRENT   ONLINE    NO       NORMAL                           
          2           1 +DG0/dbfiles/redo8                                                       512      262144           0           0 NEW       ONLINE    YES      NORMAL                           
          2           2 +DG0/dbfiles/redo9                                                       512      262144           0           0 NEW       ONLINE    YES      NORMAL                           
          2           3 +DG0/dbfiles/redo10                                                      512      262144           0           0 NEW       ONLINE    YES      NORMAL                           
          2           4 +DG0/dbfiles/redo11                                                      512      262144           0           0 NEW       ONLINE    YES      NORMAL                           
          2           5 +DG0/dbfiles/redo12                                                      512      262144           0           0 NEW       ONLINE    YES      NORMAL                           

12 rows fetched.


