  yashan_monit.service                                  loaded active running Yashan Monitor Service (yashandb)                                            
● yashan_monit_1688.service                             loaded failed failed  Yashan Monitor Service (yashandb)                                            
● yashan_monit_1788.service                             loaded failed failed  Yashan Monitor Service (yashandb_1788)                                       
● yashan_monit_1888.service                             loaded failed failed  Yashan Monitor Service (huang)                                               
● yashan_monit_1988.service                             loaded failed failed  Yashan Monitor Service (yashandb_1988)                                       
● yashan_monit_2088.service                             loaded failed failed  Yashan Monitor Service (yashandb_2088)                                       
● yashan_monit_2340.service                             loaded failed failed  Yashan Monitor Service (yashandb_2340)                                       
● yashan_monit_2888.service                             loaded failed failed  Yashan Monitor Service (huang)                                               
● yashan_monit_3333.service                             loaded failed failed  Yashan Monitor Service (yashandb_3333)                                       
● yashan_monit_3488.service                             loaded failed failed  Yashan Monitor Service (yashandb_3488)                                       
● yashan_monit_3588.service                             loaded failed failed  Yashan Monitor Service (yashandb_3588)                                       
● yashan_monit_3688.service                             loaded failed failed  Yashan Monitor Service (yashandb_3688)                                       
● yashan_monit_3788.service                             loaded failed failed  Yashan Monitor Service (yashandb_3788)                                       
● yashan_monit_3888.service                             loaded failed failed  Yashan Monitor Service (yashandb_3888)                                       
● yashan_monit_3999.service                             loaded failed failed  Yashan Monitor Service (yashandb_3999)                                       
● yashan_monit_4588.service                             loaded failed failed  Yashan Monitor Service (yashandb_4588)                                       
● yashan_monit_4688.service                             loaded failed failed  Yashan Monitor Service (yashandb4688)                                        
