ID     | Command line             | Date and time    | Action(s)      | Altered
-------------------------------------------------------------------------------
    36 | -y install --disablerepo | 2026-05-27 15:29 | Install        |    1   
    35 | -y install --disablerepo | 2026-05-27 15:29 | Install        |    2   
    34 | -y install --disablerepo | 2026-05-27 15:29 | Install        |    1   
    33 | -y install --disablerepo | 2026-05-27 15:29 | Install        |    1   
    32 | -y install --disablerepo | 2026-05-27 15:29 | Install        |    1   
    31 | install -y gcc gcc-c++ m | 2026-04-15 09:50 | Install        |   16   
    30 | -y install --disablerepo | 2026-04-11 09:27 | Install        |   52   
    29 | remove -y dotnet-sdk-7.0 | 2026-02-27 13:57 | Removed        |   19   
    28 | install -y dotnet-sdk-6. | 2026-02-27 13:56 | Install        |    8   
    27 | install -y dotnet-sdk-7. | 2026-02-27 13:55 | Install        |   11   
    26 | install -y https://packa | 2026-02-27 13:54 | Install        |    1   
    25 | -y install libnsl        | 2026-02-12 12:29 | Install        |    1   
    24 | install sqlite           | 2026-02-10 10:45 | Install        |    1   
    23 | -y install --disablerepo | 2026-01-31 06:03 | Install        |    4   
    22 | -y install --disablerepo | 2026-01-31 06:03 | Install        |   80   
    21 | -y install --disablerepo | 2026-01-31 06:03 | Install        |    1   
    20 | -y install --disablerepo | 2026-01-31 06:03 | Install        |    2   
    19 | -y install --disablerepo | 2026-01-31 06:03 | Install        |    1   
    18 | -y install --disablerepo | 2026-01-31 06:03 | Install        |    1   
    17 | -y install --disablerepo | 2026-01-31 06:03 | Install        |    2   
    16 | -y install --disablerepo | 2026-01-31 06:02 | Install        |    9   
    15 | -y install --disablerepo | 2026-01-31 06:02 | Install        |    1   
    14 | -y install --disablerepo | 2026-01-31 06:02 | Install        |   19   
    13 | -y install --disablerepo | 2026-01-31 06:02 | Install        |    1   
    12 | -y install --disablerepo | 2026-01-31 06:02 | Install        |   11 EE
    11 | -y install --disablerepo | 2026-01-31 06:02 | Install        |    3   
    10 | -y install --disablerepo | 2026-01-31 06:02 | Install        |   92   
     9 | -y install --disablerepo | 2026-01-31 06:02 | Install        |    3   
